================ Training Loss (Sat Nov 21 23:25:51 2020) ================
(epoch: 14, iters: 168, time: 0.340, data: 0.050) loss: 0.238 
(epoch: 14, iters: 228, time: 0.344, data: 0.000) loss: 0.320 
(epoch: 14, iters: 288, time: 0.341, data: 0.100) loss: 0.222 
(epoch: 14, iters: 348, time: 0.381, data: 0.051) loss: 0.267 
(epoch: 15, iters: 24, time: 0.344, data: 0.000) loss: 0.224 
(epoch: 15, iters: 84, time: 0.343, data: 0.000) loss: 0.251 
(epoch: 15, iters: 144, time: 0.344, data: 0.000) loss: 0.256 
(epoch: 15, iters: 204, time: 0.345, data: 0.140) loss: 0.232 
(epoch: 15, iters: 264, time: 0.336, data: 0.000) loss: 0.227 
(epoch: 15, iters: 324, time: 0.344, data: 0.000) loss: 0.212 
(epoch: 15, iters: 384, time: 0.261, data: 0.102) loss: 0.210 
(epoch: 16, iters: 60, time: 0.369, data: 2.062) loss: 0.173 
(epoch: 16, iters: 120, time: 0.343, data: 0.000) loss: 0.236 
(epoch: 16, iters: 180, time: 0.348, data: 0.000) loss: 0.211 
(epoch: 16, iters: 240, time: 0.342, data: 0.168) loss: 0.254 
(epoch: 16, iters: 300, time: 0.340, data: 0.000) loss: 0.196 
(epoch: 16, iters: 360, time: 0.342, data: 0.000) loss: 0.222 
(epoch: 17, iters: 36, time: 0.341, data: 0.036) loss: 0.206 
(epoch: 17, iters: 96, time: 0.341, data: 0.052) loss: 0.226 
(epoch: 17, iters: 156, time: 0.340, data: 0.047) loss: 0.204 
(epoch: 17, iters: 216, time: 0.339, data: 0.048) loss: 0.183 
(epoch: 17, iters: 276, time: 0.439, data: 0.043) loss: 0.196 
(epoch: 17, iters: 336, time: 0.340, data: 0.052) loss: 0.223 
(epoch: 18, iters: 12, time: 0.339, data: 0.048) loss: 0.180 
(epoch: 18, iters: 72, time: 0.343, data: 0.044) loss: 0.195 
(epoch: 18, iters: 132, time: 0.341, data: 0.096) loss: 0.209 
(epoch: 18, iters: 192, time: 0.339, data: 0.000) loss: 0.207 
(epoch: 18, iters: 252, time: 0.341, data: 0.046) loss: 0.187 
(epoch: 18, iters: 312, time: 0.341, data: 0.089) loss: 0.191 
(epoch: 18, iters: 372, time: 0.369, data: 0.000) loss: 0.191 
(epoch: 19, iters: 48, time: 0.340, data: 0.022) loss: 0.233 
(epoch: 19, iters: 108, time: 0.338, data: 0.000) loss: 0.190 
(epoch: 19, iters: 168, time: 0.341, data: 0.096) loss: 0.188 
(epoch: 19, iters: 228, time: 0.338, data: 0.045) loss: 0.170 
(epoch: 19, iters: 288, time: 0.339, data: 0.000) loss: 0.209 
(epoch: 19, iters: 348, time: 0.341, data: 0.089) loss: 0.185 
(epoch: 20, iters: 24, time: 0.342, data: 0.017) loss: 0.195 
(epoch: 20, iters: 84, time: 0.337, data: 0.000) loss: 0.176 
(epoch: 20, iters: 144, time: 0.343, data: 0.000) loss: 0.177 
(epoch: 20, iters: 204, time: 0.342, data: 0.149) loss: 0.173 
(epoch: 20, iters: 264, time: 0.339, data: 0.000) loss: 0.198 
(epoch: 20, iters: 324, time: 0.344, data: 0.000) loss: 0.199 
(epoch: 20, iters: 384, time: 0.262, data: 0.126) loss: 0.167 
(epoch: 21, iters: 60, time: 0.343, data: 0.921) loss: 0.156 
(epoch: 21, iters: 120, time: 0.339, data: 0.048) loss: 0.166 
(epoch: 21, iters: 180, time: 0.340, data: 0.046) loss: 0.183 
(epoch: 21, iters: 240, time: 0.337, data: 0.072) loss: 0.166 
(epoch: 21, iters: 300, time: 0.339, data: 0.050) loss: 0.180 
(epoch: 21, iters: 360, time: 0.340, data: 0.052) loss: 0.217 
(epoch: 22, iters: 36, time: 0.340, data: 0.025) loss: 0.167 
(epoch: 22, iters: 96, time: 0.339, data: 0.045) loss: 0.165 
(epoch: 22, iters: 156, time: 0.392, data: 0.072) loss: 0.150 
(epoch: 22, iters: 216, time: 0.339, data: 0.050) loss: 0.190 
(epoch: 22, iters: 276, time: 0.339, data: 0.046) loss: 0.186 
(epoch: 22, iters: 336, time: 0.338, data: 0.045) loss: 0.164 
(epoch: 23, iters: 12, time: 0.341, data: 0.039) loss: 0.172 
(epoch: 23, iters: 72, time: 0.350, data: 0.000) loss: 0.166 
(epoch: 23, iters: 132, time: 0.340, data: 0.121) loss: 0.167 
(epoch: 23, iters: 192, time: 0.343, data: 0.044) loss: 0.173 
(epoch: 23, iters: 252, time: 0.339, data: 0.000) loss: 0.181 
(epoch: 23, iters: 312, time: 0.341, data: 0.089) loss: 0.160 
(epoch: 23, iters: 372, time: 0.340, data: 0.048) loss: 0.174 
(epoch: 24, iters: 48, time: 0.338, data: 0.000) loss: 0.148 
(epoch: 24, iters: 108, time: 0.342, data: 0.102) loss: 0.169 
(epoch: 24, iters: 168, time: 0.341, data: 0.047) loss: 0.169 
(epoch: 24, iters: 228, time: 0.340, data: 0.000) loss: 0.168 
(epoch: 24, iters: 288, time: 0.343, data: 0.088) loss: 0.191 
(epoch: 24, iters: 348, time: 0.338, data: 0.048) loss: 0.166 
(epoch: 25, iters: 24, time: 0.349, data: 0.000) loss: 0.159 
(epoch: 25, iters: 84, time: 0.337, data: 0.000) loss: 0.165 
(epoch: 25, iters: 144, time: 0.339, data: 0.049) loss: 0.152 
(epoch: 25, iters: 204, time: 0.339, data: 0.044) loss: 0.161 
